URL,Institution,Conference,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,RC,YC,Clears,Att,Clear Pct,OTG
https://stats.ncaa.org/team/721/15921,Air Force,ASUN,15,167,86,253,662,359,13,,433,245,151,180,367,35,"1,560",901:05:00,154,184,,,292,348,0.839,1
https://stats.ncaa.org/team/725/15921,Army West Point,Patriot,16,225,124,349,746,447,20,3,506,240,120,244,461,52,"2,460",960:58:00,179,196,,,280,325,0.862,
https://stats.ncaa.org/team/52/15921,Bellarmine,ASUN,17,180,109,289,601,354,16,2,424,316,170,180,444,73,"3,780",1032:35:00,203,198,,,333,404,0.824,
https://stats.ncaa.org/team/62/15921,Binghamton,America East,14,149,84,233,529,309,11,1,383,262,103,175,361,45,"2,070",844:00:00,162,190,,,270,329,0.821,1
https://stats.ncaa.org/team/68/15921,Boston U.,Patriot,17,226,139,365,754,429,15,,618,319,205,244,462,68,"3,450",1022:46:00,181,208,,,375,443,0.847,1
https://stats.ncaa.org/team/80/15921,Brown,Ivy League,16,211,125,336,730,435,24,,456,256,120,217,450,57,"2,580",960:00:00,185,213,,,350,397,0.882,
https://stats.ncaa.org/team/81/15921,Bryant,NEC,15,181,100,281,674,403,16,,511,285,138,218,392,56,"2,790",900:00:00,165,196,,,285,346,0.824,
https://stats.ncaa.org/team/83/15921,Bucknell,Patriot,15,203,126,329,678,421,13,1,542,242,151,206,422,43,"2,040",897:22:00,163,166,,,271,329,0.824,
https://stats.ncaa.org/team/116/15921,Canisius,MAAC,14,128,67,195,529,285,10,,396,258,76,180,377,40,"1,830",841:00:00,204,191,,,237,304,0.78,
https://stats.ncaa.org/team/148/15921,Cleveland St.,ASUN,13,145,89,234,536,315,13,,383,222,79,159,348,44,"2,220",779:07:00,164,184,,,243,284,0.856,
https://stats.ncaa.org/team/153/15921,Colgate,Patriot,13,125,60,185,492,280,4,1,336,224,80,171,318,33,"1,530",786:27:00,151,171,,,235,288,0.816,1
https://stats.ncaa.org/team/167/15921,Cornell,Ivy League,19,247,134,381,815,508,18,1,659,282,161,244,526,39,"1,800",1141:12:00,212,228,,,347,411,0.844,1
https://stats.ncaa.org/team/172/15921,Dartmouth,Ivy League,13,123,70,193,535,287,11,1,419,243,96,173,322,50,"2,400",780:00:00,162,177,,,235,292,0.805,
https://stats.ncaa.org/team/180/15921,Delaware,CAA,19,255,149,404,807,510,26,2,568,259,133,241,525,65,"3,210",1142:59:00,205,217,,,354,399,0.887,
https://stats.ncaa.org/team/183/15921,Denver,Big East,15,206,129,335,688,396,20,1,421,205,101,237,426,57,"2,610",900:00:00,172,179,,,272,308,0.883,
https://stats.ncaa.org/team/184/15921,Detroit Mercy,ASUN,11,84,31,115,407,210,10,,336,226,72,124,291,44,"2,310",659:54:00,171,156,,,191,253,0.755,
https://stats.ncaa.org/team/191/15921,Drexel,CAA,14,167,108,275,525,312,17,1,411,226,98,151,399,56,"2,820",844:38:00,188,176,,,273,312,0.875,1
https://stats.ncaa.org/team/193/15921,Duke,ACC,17,262,142,404,751,478,24,2,588,260,123,275,504,58,"2,820",1023:35:00,190,231,,,325,380,0.855,
https://stats.ncaa.org/team/220/15921,Fairfield,CAA,14,193,103,296,621,386,22,,481,232,119,218,427,54,"2,760",836:03:00,187,177,,,280,309,0.906,
https://stats.ncaa.org/team/251/15921,Georgetown,Big East,17,256,147,403,831,505,13,1,640,255,169,268,454,48,"2,040",1020:00:00,139,216,,,340,382,0.89,
https://stats.ncaa.org/team/270/15921,Hampton,SoCon,10,47,17,64,219,136,2,,220,255,70,119,289,32,"1,230",600:00:00,209,187,,,160,236,0.678,
https://stats.ncaa.org/team/275/15921,Harvard,Ivy League,13,171,83,254,535,344,12,,437,236,131,145,365,42,"1,680",781:44:00,159,161,,,241,296,0.814,
https://stats.ncaa.org/team/19651/15921,High Point,SoCon,15,201,109,310,642,401,19,,451,226,135,195,426,57,"2,400",901:35:00,179,176,,,248,301,0.824,1
https://stats.ncaa.org/team/282/15921,Hobart,NEC,13,183,97,280,658,370,18,,426,191,113,207,376,42,"1,830",781:56:00,157,141,,,239,275,0.869,
https://stats.ncaa.org/team/283/15921,Hofstra,CAA,15,150,72,222,510,296,5,2,432,262,117,165,369,49,"2,460",901:41:00,165,182,,,296,342,0.865,
https://stats.ncaa.org/team/285/15921,Holy Cross,Patriot,14,120,73,193,490,270,8,,387,280,107,178,402,40,"1,620",840:00:00,235,193,,,228,282,0.809,
https://stats.ncaa.org/team/316/15921,Jacksonville,SoCon,17,273,161,434,716,493,22,1,556,286,176,238,467,57,"2,700",1020:00:00,146,198,,,303,342,0.886,
https://stats.ncaa.org/team/322/15921,Johns Hopkins,Big Ten,16,175,106,281,650,372,17,1,499,267,122,212,429,39,"1,770",960:00:00,202,176,,,289,346,0.835,
https://stats.ncaa.org/team/361/15921,LIU,NEC,15,167,104,271,530,350,19,1,534,284,111,194,377,68,"3,420",900:00:00,161,200,,,317,367,0.864,
https://stats.ncaa.org/team/342/15921,Lafayette,Patriot,15,181,97,278,567,374,18,1,434,213,110,193,450,42,"1,950",904:00:00,220,142,,,298,335,0.89,
https://stats.ncaa.org/team/352/15921,Lehigh,Patriot,15,171,100,271,617,360,15,,517,261,128,228,366,52,"2,370",905:44:00,147,175,,,261,319,0.818,
https://stats.ncaa.org/team/369/15921,Loyola Maryland,Patriot,16,187,126,313,669,390,17,1,538,248,142,230,429,25,"1,230",962:34:00,186,172,,,281,311,0.904,2
https://stats.ncaa.org/team/381/15921,Manhattan,MAAC,15,136,64,200,500,293,10,1,355,202,108,101,338,51,"2,310",899:11:00,149,159,,,296,327,0.905,1
https://stats.ncaa.org/team/386/15921,Marist,MAAC,15,149,82,231,608,347,18,1,452,234,134,174,384,48,"2,490",903:43:00,186,201,,,295,332,0.889,2
https://stats.ncaa.org/team/387/15921,Marquette,Big East,15,157,82,239,600,349,29,1,445,273,117,231,404,46,"2,160",913:47:00,193,194,,,280,323,0.867,1
https://stats.ncaa.org/team/392/15921,Maryland,Big Ten,18,318,204,522,814,541,24,1,670,262,159,346,547,44,"2,220",1080:00:00,162,234,,,372,416,0.894,
https://stats.ncaa.org/team/400/15921,Massachusetts,CAA,14,166,89,255,577,367,22,,460,212,84,213,368,53,"2,310",846:20:00,157,175,,,242,275,0.88,1
https://stats.ncaa.org/team/406/15921,Mercer,SoCon,15,157,95,252,556,327,14,1,395,267,100,209,409,53,"2,730",899:18:00,207,192,,,268,305,0.879,
https://stats.ncaa.org/team/410/15921,Merrimack,NEC,12,116,70,186,455,287,10,,336,191,81,136,281,40,"1,860",720:00:00,129,164,,,252,288,0.875,
https://stats.ncaa.org/team/418/15921,Michigan,Big Ten,15,211,129,340,711,440,25,2,487,231,119,250,429,46,"1,950",902:26:00,167,186,,,273,321,0.85,
https://stats.ncaa.org/team/439/15921,Monmouth,MAAC,12,88,50,138,430,241,11,,355,206,88,127,247,42,"2,190",722:02:00,122,165,,,207,243,0.852,
https://stats.ncaa.org/team/450/15921,Mount St. Mary's,NEC,15,135,76,211,608,331,10,2,472,293,126,165,361,81,"3,570",896:55:00,181,190,,,266,325,0.818,
https://stats.ncaa.org/team/471/15921,NJIT,America East,13,90,52,142,452,243,11,,341,274,82,147,325,54,"2,580",781:02:00,193,185,,,239,304,0.786,
https://stats.ncaa.org/team/726/15921,Navy,Patriot,15,160,100,260,602,330,16,,524,264,116,173,364,38,"1,800",900:58:00,152,170,,,291,340,0.856,1
https://stats.ncaa.org/team/457/15921,North Carolina,ACC,14,162,108,270,624,350,13,,427,210,87,201,390,42,"2,040",840:00:00,180,182,,,256,297,0.862,
https://stats.ncaa.org/team/513/15921,Notre Dame,ACC,12,177,93,270,538,335,21,,387,169,107,153,336,37,"1,620",720:00:00,121,171,,,244,269,0.907,
https://stats.ncaa.org/team/518/15921,Ohio St.,Big Ten,16,218,118,336,655,408,25,,522,239,87,266,454,48,"2,190",960:00:00,186,192,,,286,330,0.867,
https://stats.ncaa.org/team/540/15921,Penn,Ivy League,16,205,126,331,645,378,23,1,535,291,121,216,427,55,"2,670",973:23:00,177,227,,,331,398,0.832,3
https://stats.ncaa.org/team/539/15921,Penn St.,Big Ten,14,157,90,247,536,317,17,,425,244,101,168,391,52,"2,610",844:05:00,191,203,,,270,309,0.874,1
https://stats.ncaa.org/team/554/15921,Princeton,Ivy League,16,237,121,358,747,466,19,1,612,250,159,233,468,63,"2,820",964:00:00,181,225,,,305,353,0.864,1
https://stats.ncaa.org/team/556/15921,Providence,Big East,14,155,79,234,594,331,18,,397,228,89,179,400,38,"1,890",841:26:00,198,162,,,277,317,0.874,1
https://stats.ncaa.org/team/562/15921,Quinnipiac,MAAC,13,135,70,205,545,318,14,1,410,228,96,190,365,56,"2,760",775:46:00,183,173,,,199,249,0.799,
https://stats.ncaa.org/team/575/15921,Richmond,SoCon,16,224,145,369,694,443,21,1,521,245,154,228,439,49,"2,610",972:01:00,161,211,,,300,350,0.857,1
https://stats.ncaa.org/team/579/15921,Robert Morris,ASUN,16,207,128,335,625,409,16,2,467,285,146,239,463,74,"3,840",961:44:00,202,206,,,318,361,0.881,1
https://stats.ncaa.org/team/587/15921,Rutgers,Big Ten,19,275,150,425,897,545,15,2,609,253,161,266,561,51,"2,310",1141:32:00,215,247,,,381,421,0.905,1
https://stats.ncaa.org/team/590/15921,Sacred Heart,NEC,13,137,84,221,476,288,14,1,351,211,97,147,370,55,"2,820",770:49:00,190,182,,,245,289,0.848,1
https://stats.ncaa.org/team/606/15921,Saint Joseph's,NEC,18,252,136,388,777,472,29,2,537,289,115,318,487,67,"3,600",1084:20:00,188,201,,,292,333,0.877,
https://stats.ncaa.org/team/639/15921,Siena,MAAC,15,153,94,247,622,367,19,3,459,239,117,179,364,51,"2,490",900:00:00,159,212,,,290,346,0.838,
https://stats.ncaa.org/team/596/15921,St. Bonaventure,MAAC,15,161,100,261,517,326,13,,410,252,114,175,350,54,"2,490",903:03:00,134,262,,,294,345,0.852,1
https://stats.ncaa.org/team/603/15921,St. John's (NY),Big East,14,125,89,214,477,282,14,,319,238,90,152,426,59,"2,640",830:19:00,257,176,,,258,308,0.838,
https://stats.ncaa.org/team/683/15921,Stony Brook,America East,14,181,91,272,623,365,24,1,482,233,105,205,394,60,"2,820",840:00:00,162,165,,,282,325,0.868,
https://stats.ncaa.org/team/688/15921,Syracuse,ACC,14,187,92,279,661,367,14,1,491,202,131,253,438,55,"2,370",841:12:00,206,141,,,248,289,0.858,
https://stats.ncaa.org/team/711/15921,Towson,CAA,16,180,103,283,659,366,19,2,474,253,116,185,424,66,"2,910",971:44:00,191,215,,,302,341,0.886,
https://stats.ncaa.org/team/14/15921,UAlbany,America East,15,155,105,260,531,313,22,1,468,281,105,207,418,47,"2,130",900:00:00,214,159,,,275,316,0.87,
https://stats.ncaa.org/team/391/15921,UMBC,America East,13,138,72,210,473,264,14,,393,235,85,160,315,42,"2,040",780:00:00,131,137,,,233,276,0.844,
https://stats.ncaa.org/team/368/15921,UMass Lowell,America East,13,129,68,197,561,309,16,,371,220,82,184,363,58,"2,910",780:00:00,193,139,,1,186,238,0.782,
https://stats.ncaa.org/team/732/15921,Utah,ASUN,14,191,123,314,600,361,18,1,447,216,95,211,394,46,"2,670",843:58:00,159,145,,,267,293,0.911,1
https://stats.ncaa.org/team/741/15921,VMI,SoCon,15,144,86,230,611,326,16,,430,256,138,155,392,35,"1,860",902:10:00,199,182,,,281,334,0.841,
https://stats.ncaa.org/team/738/15921,Vermont,America East,19,251,159,410,815,492,20,1,623,300,180,295,487,62,"3,000",1138:50:00,175,210,,,325,375,0.867,
https://stats.ncaa.org/team/739/15921,Villanova,Big East,15,199,123,322,698,391,30,,470,224,137,246,426,43,"1,980",899:53:00,175,182,,,261,311,0.839,
https://stats.ncaa.org/team/746/15921,Virginia,ACC,16,248,141,389,749,464,15,,610,238,145,275,495,44,"2,100",960:00:00,191,184,,,310,349,0.888,
https://stats.ncaa.org/team/748/15921,Wagner,NEC,12,88,32,120,449,230,10,1,287,207,88,94,252,32,"1,500",718:58:00,121,172,,,232,279,0.832,
https://stats.ncaa.org/team/813/15921,Yale,Ivy League,17,253,157,410,801,480,24,1,606,291,150,287,529,57,"2,610",1026:16:00,225,241,,,305,364,0.838,3
https://stats.ncaa.org/National Totals,National Totals,,"1,086","12,966","7,443","20,409","44,827","26,644","1,221",56,"33,774","18,002","8,639","14,748","29,496","3,656","174,210",65284:06,"12,966","13,676",,1,"20,283","23,759",,30